"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uf","","","","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J_HandSolder",""
"C2","1","C_US","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",""
"J1","1","USB_B_Micro","","","","Connector_USB:USB_Micro-AB_Molex_47590-0001","~"
"J2","1","I2C_Connector","","","","Connector_Hirose:Hirose_DF3EA-04P-2H_1x04-1MP_P2.00mm_Horizontal","~"
"J3","1","5V_VIN","","","","Connector_Hirose:Hirose_DF3EA-02P-2H_1x02-1MP_P2.00mm_Horizontal","~"
"J4","1","GPIO4","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J5","1","GPIO19","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J6","1","GPIO23","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J7","1","GPIO25","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J8","1","GPIO26","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J9","1","GPIO5","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J10","1","GPIO12","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J11","1","GPIO13","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J13","1","GPIO14","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J14","1","GPIO15","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J15","1","GPIO16","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J16","1","GPIO17","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J17","1","GPIO18","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J18","1","GPIO27","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J19","1","GPIO32","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J20","1","GPIO33","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J21","1","GPIO34","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J22","1","GPIO35","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"J23","1","3.3V_INPUT","","","","Connector_PinSocket_2.00mm:PinSocket_1x01_P2.00mm_Vertical","~"
"J24","1","O_RTS","","","","Connector_PinSocket_2.00mm:PinSocket_1x01_P2.00mm_Vertical","~"
"J25","1","O_CTS","","","","Connector_PinSocket_2.00mm:PinSocket_1x01_P2.00mm_Vertical","~"
"J26,J27","2","Sensor_VN","","","","Connector_PinSocket_2.00mm:PinSocket_1x01_P2.00mm_Vertical","~"
"J29","1","GPIO2","","","","Connector_Hirose:Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical","~"
"R1,R6","2","2.3k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R2","1","10K","","","","Resistor_SMD:R_0201_0603Metric","~"
"R3","1","10k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R4,R5,R7","3","4.4k","","","","Resistor_SMD:R_0201_0603Metric","~"
"SW1,SW2","2","CK_KMS2xxG","","","","Button_Switch_SMD:SW_SPST_CK_KMS2xxGP","https://www.ckswitches.com/media/1482/kms.pdf"
"U1","1","ESP32-WROOM-32UE","","","","RF_Module:ESP32-WROOM-32UE","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf"
"U2","1","CP2102N-Axx-xQFN20","","","","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"U3","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U4","1","AMS1117CD-5.0","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
